Sid,Date,Close
FIBBG000B9XRY4,03-01-2023,124.2163
FIBBG000B9XRY4,04-01-2023,125.4975
FIBBG000B9XRY4,05-01-2023,124.1666
FIBBG000B9XRY4,06-01-2023,128.7352
FIBBG000B9XRY4,09-01-2023,129.2616
FIBBG000B9XRY4,10-01-2023,129.8377
FIBBG000B9XRY4,11-01-2023,132.5788
FIBBG000B9XRY4,12-01-2023,132.4994
FIBBG000B9XRY4,13-01-2023,133.8402
FIBBG000B9XRY4,17-01-2023,135.0121
FIBBG000B9XRY4,18-01-2023,134.2871
FIBBG000B9XRY4,19-01-2023,134.3467
FIBBG000B9XRY4,20-01-2023,136.9289
FIBBG000B9XRY4,23-01-2023,140.1468
FIBBG000B9XRY4,24-01-2023,141.5571
FIBBG000B9XRY4,25-01-2023,140.8917
FIBBG000B9XRY4,26-01-2023,142.9774
FIBBG000B9XRY4,27-01-2023,144.9339
FIBBG000B9XRY4,30-01-2023,142.0239
FIBBG000B9XRY4,31-01-2023,143.3051
FIBBG000B9XRY4,01-02-2023,144.4373
FIBBG000B9XRY4,02-02-2023,149.7905
FIBBG000B9XRY4,03-02-2023,153.4454
FIBBG000B9XRY4,06-02-2023,150.6943
FIBBG000B9XRY4,07-02-2023,153.5944
FIBBG000B9XRY4,08-02-2023,150.883
FIBBG000B9XRY4,09-02-2023,149.8402
FIBBG000B9XRY4,10-02-2023,150.2082
FIBBG000B9XRY4,13-02-2023,153.0332
FIBBG000B9XRY4,14-02-2023,152.3866
FIBBG000B9XRY4,15-02-2023,154.5053
FIBBG000B9XRY4,16-02-2023,152.8939
FIBBG000B9XRY4,17-02-2023,151.7401
FIBBG000B9XRY4,21-02-2023,147.6917
FIBBG000B9XRY4,22-02-2023,148.1194
FIBBG000B9XRY4,23-02-2023,148.6068
FIBBG000B9XRY4,24-02-2023,145.9311
FIBBG000B9XRY4,27-02-2023,147.1346
FIBBG000B9XRY4,28-02-2023,146.6273
FIBBG000B9XRY4,01-03-2023,144.5385
FIBBG000B9XRY4,02-03-2023,145.1353
FIBBG000B9XRY4,03-03-2023,150.2281
FIBBG000B9XRY4,06-03-2023,153.0133
FIBBG000B9XRY4,07-03-2023,150.7951
FIBBG000B9XRY4,08-03-2023,152.0584
FIBBG000B9XRY4,09-03-2023,149.7905
FIBBG000B9XRY4,10-03-2023,147.7116
FIBBG000B9XRY4,13-03-2023,149.6711
FIBBG000B9XRY4,14-03-2023,151.7798
FIBBG000B9XRY4,15-03-2023,152.1777
FIBBG000B9XRY4,16-03-2023,155.0225
FIBBG000B9XRY4,17-03-2023,154.177
FIBBG000B9XRY4,20-03-2023,156.5643
FIBBG000B9XRY4,21-03-2023,158.4343
FIBBG000B9XRY4,22-03-2023,156.992
FIBBG000B9XRY4,23-03-2023,158.0862
FIBBG000B9XRY4,24-03-2023,159.3992
FIBBG000B9XRY4,27-03-2023,157.4396
FIBBG000B9XRY4,28-03-2023,156.813
FIBBG000B9XRY4,29-03-2023,159.9164
FIBBG000B9XRY4,30-03-2023,161.498
FIBBG000B9XRY4,31-03-2023,164.0245
FIBBG000B9XRY4,03-04-2023,165.2877
FIBBG000B9XRY4,04-04-2023,164.7506
FIBBG000B9XRY4,05-04-2023,162.8905
FIBBG000B9XRY4,06-04-2023,163.7858
FIBBG000B9XRY4,10-04-2023,161.1697
FIBBG000B9XRY4,11-04-2023,159.9463
FIBBG000B9XRY4,12-04-2023,159.25
FIBBG000B9XRY4,13-04-2023,164.681
FIBBG000B9XRY4,14-04-2023,164.3328
FIBBG000B9XRY4,17-04-2023,164.3527
FIBBG000B9XRY4,18-04-2023,165.5861
FIBBG000B9XRY4,19-04-2023,166.74
FIBBG000B9XRY4,20-04-2023,165.7652
FIBBG000B9XRY4,21-04-2023,164.1438
FIBBG000B9XRY4,24-04-2023,164.4522
FIBBG000B9XRY4,25-04-2023,162.9005
FIBBG000B9XRY4,26-04-2023,162.8905
FIBBG000B9XRY4,27-04-2023,167.5158
FIBBG000B9XRY4,28-04-2023,168.7791
FIBBG000B9XRY4,01-05-2023,168.6896
FIBBG000B9XRY4,02-05-2023,167.6452
FIBBG000B9XRY4,03-05-2023,166.5609
FIBBG000B9XRY4,04-05-2023,164.9098
FIBBG000B9XRY4,05-05-2023,172.6485
FIBBG000B9XRY4,08-05-2023,172.5788
FIBBG000B9XRY4,09-05-2023,170.858
FIBBG000B9XRY4,10-05-2023,172.6335
FIBBG000B9XRY4,11-05-2023,172.8275
FIBBG000B9XRY4,12-05-2023,171.8912
FIBBG000B9XRY4,15-05-2023,171.3932
FIBBG000B9XRY4,16-05-2023,171.3932
FIBBG000B9XRY4,17-05-2023,172.0107
FIBBG000B9XRY4,18-05-2023,174.3614
FIBBG000B9XRY4,19-05-2023,174.471
FIBBG000B9XRY4,22-05-2023,173.5148
FIBBG000B9XRY4,23-05-2023,170.8852
FIBBG000B9XRY4,24-05-2023,171.1641
FIBBG000B9XRY4,25-05-2023,172.3095
FIBBG000B9XRY4,26-05-2023,174.7399
FIBBG000B9XRY4,30-05-2023,176.6026
FIBBG000B9XRY4,31-05-2023,176.5528
FIBBG000B9XRY4,01-06-2023,179.3816
FIBBG000B9XRY4,02-06-2023,180.2382
FIBBG000B9XRY4,05-06-2023,178.8736
FIBBG000B9XRY4,06-06-2023,178.5051
FIBBG000B9XRY4,07-06-2023,177.1205
FIBBG000B9XRY4,08-06-2023,179.8597
FIBBG000B9XRY4,09-06-2023,180.2482
FIBBG000B9XRY4,12-06-2023,183.0671
FIBBG000B9XRY4,13-06-2023,182.5889
FIBBG000B9XRY4,14-06-2023,183.2264
FIBBG000B9XRY4,15-06-2023,185.2783
FIBBG000B9XRY4,16-06-2023,184.1926
FIBBG000B9XRY4,20-06-2023,184.2823
FIBBG000B9XRY4,21-06-2023,183.2364
FIBBG000B9XRY4,22-06-2023,186.2644
FIBBG000B9XRY4,23-06-2023,185.9457
FIBBG000B9XRY4,26-06-2023,184.5412
FIBBG000B9XRY4,27-06-2023,187.3203
FIBBG000B9XRY4,28-06-2023,188.5056
FIBBG000B9XRY4,29-06-2023,188.8442
FIBBG000B9XRY4,30-06-2023,193.207
FIBBG000B9XRY4,03-07-2023,191.703
FIBBG000B9XRY4,05-07-2023,190.5774
FIBBG000B9XRY4,06-07-2023,191.0555
FIBBG000B9XRY4,07-07-2023,189.93
FIBBG000B9XRY4,10-07-2023,187.8681
FIBBG000B9XRY4,11-07-2023,187.3402
FIBBG000B9XRY4,12-07-2023,189.0235
FIBBG000B9XRY4,13-07-2023,189.7905
FIBBG000B9XRY4,14-07-2023,189.9399
FIBBG000B9XRY4,17-07-2023,193.2269
FIBBG000B9XRY4,18-07-2023,192.968
FIBBG000B9XRY4,19-07-2023,194.3326
FIBBG000B9XRY4,20-07-2023,192.3703
FIBBG000B9XRY4,21-07-2023,191.185
FIBBG000B9XRY4,24-07-2023,191.9918
FIBBG000B9XRY4,25-07-2023,192.8584
FIBBG000B9XRY4,26-07-2023,193.7349
FIBBG000B9XRY4,27-07-2023,192.46
FIBBG000B9XRY4,28-07-2023,195.0597
FIBBG000B9XRY4,31-07-2023,195.6773
FIBBG000B9XRY4,01-08-2023,194.8356
FIBBG000B9XRY4,02-08-2023,191.8225
FIBBG000B9XRY4,03-08-2023,190.418
FIBBG000B9XRY4,04-08-2023,181.2741
FIBBG000B9XRY4,07-08-2023,178.1465
FIBBG000B9XRY4,08-08-2023,179.0928
FIBBG000B9XRY4,09-08-2023,177.4891
FIBBG000B9XRY4,10-08-2023,177.27
FIBBG000B9XRY4,11-08-2023,177.3298
FIBBG000B9XRY4,14-08-2023,178.9955
FIBBG000B9XRY4,15-08-2023,176.9907
FIBBG000B9XRY4,16-08-2023,176.113
FIBBG000B9XRY4,17-08-2023,173.5496
FIBBG000B9XRY4,18-08-2023,174.0383
FIBBG000B9XRY4,21-08-2023,175.3848
FIBBG000B9XRY4,22-08-2023,176.7712
FIBBG000B9XRY4,23-08-2023,180.6512
FIBBG000B9XRY4,24-08-2023,175.9234
FIBBG000B9XRY4,25-08-2023,178.1477
FIBBG000B9XRY4,28-08-2023,179.7236
FIBBG000B9XRY4,29-08-2023,183.6434
FIBBG000B9XRY4,30-08-2023,187.1643
FIBBG000B9XRY4,31-08-2023,187.3837
FIBBG000B9XRY4,01-09-2023,188.9696
FIBBG000B9XRY4,05-09-2023,189.209
FIBBG000B9XRY4,06-09-2023,182.4365
FIBBG000B9XRY4,07-09-2023,177.1004
FIBBG000B9XRY4,08-09-2023,177.7188
FIBBG000B9XRY4,11-09-2023,178.8957
FIBBG000B9XRY4,12-09-2023,175.8437
FIBBG000B9XRY4,13-09-2023,173.7591
FIBBG000B9XRY4,14-09-2023,175.2851
FIBBG000B9XRY4,15-09-2023,174.557
FIBBG000B9XRY4,18-09-2023,177.5093
FIBBG000B9XRY4,19-09-2023,178.6065
FIBBG000B9XRY4,20-09-2023,175.0357
FIBBG000B9XRY4,21-09-2023,173.4798
FIBBG000B9XRY4,22-09-2023,174.3376
FIBBG000B9XRY4,25-09-2023,175.6242
FIBBG000B9XRY4,26-09-2023,171.5149
FIBBG000B9XRY4,27-09-2023,169.9888
FIBBG000B9XRY4,28-09-2023,170.2482
FIBBG000B9XRY4,29-09-2023,170.7668
FIBBG000B9XRY4,02-10-2023,173.3003
FIBBG000B9XRY4,03-10-2023,171.9537
FIBBG000B9XRY4,04-10-2023,173.2105
FIBBG000B9XRY4,05-10-2023,174.4573
FIBBG000B9XRY4,06-10-2023,177.0306
FIBBG000B9XRY4,09-10-2023,178.5267
FIBBG000B9XRY4,10-10-2023,177.9282
FIBBG000B9XRY4,11-10-2023,179.3346
FIBBG000B9XRY4,12-10-2023,180.2422
FIBBG000B9XRY4,13-10-2023,178.3871
FIBBG000B9XRY4,16-10-2023,178.2574
FIBBG000B9XRY4,17-10-2023,176.6915
FIBBG000B9XRY4,18-10-2023,175.3848
FIBBG000B9XRY4,19-10-2023,175.0058
FIBBG000B9XRY4,20-10-2023,172.4325
FIBBG000B9XRY4,23-10-2023,172.5522
FIBBG000B9XRY4,24-10-2023,172.9911
FIBBG000B9XRY4,25-10-2023,170.6571
FIBBG000B9XRY4,26-10-2023,166.458
FIBBG000B9XRY4,27-10-2023,167.7846
FIBBG000B9XRY4,30-10-2023,169.8492
FIBBG000B9XRY4,31-10-2023,170.328
FIBBG000B9XRY4,01-11-2023,173.5197
FIBBG000B9XRY4,02-11-2023,177.1104
FIBBG000B9XRY4,03-11-2023,176.1927
FIBBG000B9XRY4,06-11-2023,178.7661
FIBBG000B9XRY4,07-11-2023,181.3494
FIBBG000B9XRY4,08-11-2023,182.4166
FIBBG000B9XRY4,09-11-2023,181.9378
FIBBG000B9XRY4,10-11-2023,186.1624
FIBBG000B9XRY4,13-11-2023,184.5645
FIBBG000B9XRY4,14-11-2023,187.2011
FIBBG000B9XRY4,15-11-2023,187.7704
FIBBG000B9XRY4,16-11-2023,189.4682
FIBBG000B9XRY4,17-11-2023,189.4483
FIBBG000B9XRY4,20-11-2023,191.206
FIBBG000B9XRY4,21-11-2023,190.397
FIBBG000B9XRY4,22-11-2023,191.0662
FIBBG000B9XRY4,24-11-2023,189.7279
FIBBG000B9XRY4,27-11-2023,189.5481
FIBBG000B9XRY4,28-11-2023,190.1573
FIBBG000B9XRY4,29-11-2023,189.1287
FIBBG000B9XRY4,30-11-2023,189.7079
FIBBG000B9XRY4,01-12-2023,190.9963
FIBBG000B9XRY4,04-12-2023,189.1886
FIBBG000B9XRY4,05-12-2023,193.1735
FIBBG000B9XRY4,06-12-2023,192.0749
FIBBG000B9XRY4,07-12-2023,194.0224
FIBBG000B9XRY4,08-12-2023,195.4606
FIBBG000B9XRY4,11-12-2023,192.9338
FIBBG000B9XRY4,12-12-2023,194.4619
FIBBG000B9XRY4,13-12-2023,197.7077
FIBBG000B9XRY4,14-12-2023,197.8575
FIBBG000B9XRY4,15-12-2023,197.3182
FIBBG000B9XRY4,18-12-2023,195.6404
FIBBG000B9XRY4,19-12-2023,196.689
FIBBG000B9XRY4,20-12-2023,194.5817
FIBBG000B9XRY4,21-12-2023,194.4319
FIBBG000B9XRY4,22-12-2023,193.3533
FIBBG000B9XRY4,26-12-2023,192.804
FIBBG000B9XRY4,27-12-2023,192.9038
FIBBG000B9XRY4,28-12-2023,193.3333
FIBBG000B9XRY4,29-12-2023,192.2846
